48.54347;9.396605
48.543139;9.397101
48.542974;9.39737
48.542836;9.397684
48.542218;9.399133
48.542016;9.399521
48.541803;9.39988
48.541669;9.400116
48.541577;9.400327
48.541405;9.400832
48.541201;9.40139
48.541085;9.40176
48.541057;9.401919
48.54104;9.402108
48.541049;9.402337
48.541074;9.402643
48.541076;9.402918
48.541066;9.403026
48.541042;9.403134
48.540999;9.403236
48.540934;9.40333
48.540839;9.403433
48.540722;9.403525
48.540434;9.403731
48.54017;9.40387
48.540097;9.403897
48.540034;9.403931
48.540005;9.403957
48.539988;9.403993
48.539987;9.404055
48.540003;9.404101
48.540022;9.404125
48.540053;9.404135
48.540083;9.404136
48.540183;9.404084
48.540434;9.403951
48.540645;9.403873
48.540801;9.403826
48.540952;9.40381
48.541105;9.403827
48.541256;9.40384
48.541352;9.403831
48.541424;9.403761
48.541474;9.403669
48.541495;9.403575
48.541503;9.403441
48.541473;9.40313
48.541458;9.402963
48.541449;9.40274
48.541454;9.402561
48.541481;9.402374
48.541525;9.402214
48.541588;9.402026
48.541672;9.401836
48.541938;9.401375
48.542226;9.400956
48.542469;9.40064
48.542951;9.400077
48.543209;9.399714
48.543312;9.39959
48.543421;9.399499
48.544235;9.399081
48.544791;9.39877
48.545059;9.398644
48.545146;9.398617
48.545189;9.39864
48.545224;9.39868
48.545235;9.398738
48.545236;9.398801
48.545208;9.398868
48.545175;9.398907
48.545117;9.39893
48.544997;9.398969
48.544806;9.399017
48.544633;9.399121
48.544425;9.399292
48.544228;9.399444
48.543934;9.399613
48.543855;9.399654
48.543756;9.399724
48.543692;9.39978
48.543597;9.399902
48.543492;9.400089
48.54313;9.400831
48.542834;9.401461
48.542657;9.401892
48.542467;9.402415
48.542392;9.402693
48.54237;9.402856
48.542365;9.403036
48.542367;9.403208
48.542383;9.403389
48.54241;9.40357
48.542451;9.403783
48.542511;9.403986
48.542581;9.40416
48.542674;9.40435
48.542795;9.404624
48.542857;9.404757
48.542914;9.404881
48.542964;9.405
48.542988;9.405093
48.542998;9.405188
48.543001;9.405291
48.542996;9.405405
48.542985;9.405499
48.542961;9.405581
48.542932;9.405665
48.542897;9.405745
48.54287;9.405803
48.542825;9.405879
48.542798;9.40593
48.542757;9.405977
48.54269;9.40603
48.542624;9.406061
48.542551;9.406085
48.542497;9.406089
48.542432;9.406071
48.542176;9.405954
48.542001;9.405928